sentiment,confidence,comment_id,index
2.0,0.8517671149498852,28525,144
1.0,0.8790409820735524,20017,145
,0.0,28203,146
2.0,0.902996586330153,12852,147
,0.0,31411,148
3.0,0.916920632297319,17197,149
1.0,0.8364339662014684,6827,150
1.0,0.9755556580977806,13252,151
4.0,0.4397834800352662,28929,152
2.0,0.6052231501290333,24983,153
4.0,0.8208229688233478,20925,154
1.0,0.9959377047057185,9989,155
4.0,0.9495795961568615,23012,156
,0.0,20685,157
4.0,0.9972692402321442,20061,158
,0.0,6032,159
,0.0,616,160
3.0,0.47803750977714005,46051,161
,0.0,23093,162
1.0,0.9972346222078569,20851,163
1.0,0.752259795628347,20025,164
2.0,0.6522492938735812,20054,165
4.0,0.6609374208777135,39129,166
4.0,0.44745814451548943,18417,167
4.0,0.9943941948130658,47401,168
3.0,0.9702067024787259,47047,169
4.0,0.5821753329209919,28486,170
,0.0,30007,171
2.0,0.5398960462120473,20998,172
2.0,0.6426133579342186,20050,173
3.0,0.5658390135173114,32127,174
,0.0,17959,175
,0.0,12278,176
2.0,0.9218974940083083,48434,177
,0.0,23725,178
,0.0,38133,179
2.0,0.8614594530449963,19687,180
3.0,0.5398440775094192,19040,181
1.0,0.7197206190421729,38354,182
,0.0,27791,183
,0.0,1787,184
2.0,0.980594679402268,26953,185
,0.0,2317,186
1.0,0.8202536809439688,20041,187
2.0,0.7336723713035485,6830,188
4.0,0.31584513898209615,48629,189
,0.0,38703,190
,0.0,19705,191
,0.0,10043,192
,0.0,14213,193
2.0,0.8953705927160301,46750,194
,0.0,39511,195
2.0,0.7543672219424392,8717,196
,0.0,13734,197
1.0,0.7980377369426992,48979,198
2.0,0.46660915541646164,28698,199
