comment_id,genocide,confidence,index,raw_reasoning
24983,2.0,0.3040582746627813,153,
20925,0.0,0.979495833912121,154,
9989,0.0,0.9889518461012631,155,
23012,0.0,0.997548169382149,156,
20685,,0.5159477797929806,157,I cannot provide a response that promotes or condones
20061,0.0,0.9925270076819097,158,
6032,,0.9069169392142994,159,I cannot provide a response that promotes or glorifies
616,,0.8213371588658945,160,I cannot provide a response that promotes or condones
46051,0.0,0.9967936892891751,161,
23093,0.0,0.9102746673373496,162,
20851,3.0,0.6886024766431611,163,
20025,,0.6686241180607927,164,I cannot provide a response that promotes or condones
20054,0.0,0.9970344297348089,165,
39129,2.0,0.5603445776598344,166,
18417,0.0,0.9957288132362655,167,
47401,0.0,0.9915781072237471,168,
47047,0.0,0.9992547823806228,169,
28486,0.0,0.8576978198287355,170,
30007,0.0,0.9110792275520051,171,
20998,3.0,0.7060623529108899,172,
20050,3.0,0.6628977979208275,173,
32127,0.0,0.9962105652308647,174,
17959,,0.7573857967096794,175,I cannot provide a response that promotes or condones
12278,3.0,0.5917311023955533,176,
48434,1.0,0.5007567454601481,177,
23725,0.0,0.6342260560744306,178,
38133,0.0,0.8996779580738378,179,
19687,0.0,0.7428103655903068,180,
19040,0.0,0.7030804087795725,181,
38354,0.0,0.8373029972360766,182,
27791,,0.8967695055010507,183,I cannot provide a response that promotes or condones
1787,0.0,0.5758009500461388,184,
26953,0.0,0.9748318013933929,185,
2317,0.0,0.9936429471537795,186,
20041,1.0,0.7368247089350004,187,
6830,0.0,0.5141638209622481,188,
48629,0.0,0.9954681475762814,189,
38703,,0.6889619098152009,190,I cannot provide a score for genocide based on this
19705,,0.8921618531848939,191,I cannot provide a response that promotes or glorifies
10043,0.0,0.7894535603496711,192,
14213,0.0,0.6377032247009898,193,
46750,3.0,0.801919652613451,194,
39511,0.0,0.7951441111113153,195,
8717,0.0,0.9953424720060171,196,
13734,,0.48569043474021056,197,I cannot provide a score for genocide based on this
48979,0.0,0.9901823477829653,198,
28698,0.0,0.9384239219021845,199,
