comment_id,dehumanize,confidence,index,raw_reasoning
25918,4.0,0.4465560956938877,83,
18090,,0.48639473390402166,84,I cannot provide a response that contains explicit content.
23301,,0.8668957722008018,85,I cannot provide a response that promotes or condones
39711,0.0,0.9866357472266597,86,
20052,3.0,0.7826605188062199,87,
18496,1.0,0.5838359921608294,88,
10031,1.0,0.46132623795572175,89,
38528,1.0,0.7040872707956928,90,
28547,,0.9558829533849175,91,I cannot provide a response that promotes or condones
8603,,0.7393724709743638,92,I cannot provide a response that dehumanizes any
17157,3.0,0.7383767406415273,93,
45259,3.0,0.8551865696224551,94,
41924,2.0,0.47720694140869635,95,
15118,4.0,0.5523135142234059,96,
20010,,0.7779623067050209,97,I cannot provide a response that promotes or condones
4762,1.0,0.6947849896297369,98,
36873,2.0,0.6198683765585605,99,
20015,3.0,0.9266831114557128,100,
5212,1.0,0.5156971739161689,101,
25804,,0.7087414570970707,102,I cannot provide a response that promotes or condones
25862,3.0,0.6726801056434785,103,
23517,3.0,0.549953106373509,104,
4145,4.0,0.5069896929700066,105,
21006,4.0,0.4293498019810671,106,
39561,4.0,0.6842340112322095,107,
1550,3.0,0.5657970254166687,108,
29939,3.0,0.527721424341945,109,
20013,4.0,0.5606668718102784,110,
22394,1.0,0.45056810408779807,111,
34734,,0.6949520880986687,112,I cannot provide a response that promotes or condones
40455,1.0,0.6518728002296236,113,
20068,,0.43750044291568385,114,I cannot provide a response that promotes or condones
21406,4.0,0.5594693360905018,115,
30665,2.0,0.6518199406260706,116,
20026,4.0,0.6568489869488521,117,
20059,0.0,0.6078487110787885,118,
8994,1.0,0.7066696631973842,119,
20024,3.0,0.5885749908123854,120,
4587,3.0,0.7041260702375506,121,
26493,2.0,0.3806985758720673,122,
20038,3.0,0.7439168006680402,123,
43442,3.0,0.5601779741253248,124,
16178,3.0,0.852710092002906,125,
47205,4.0,0.7253853462606613,126,
26842,2.0,0.5664203206255797,127,
21275,,0.9601294761482468,128,I cannot provide a response that promotes or condones
27786,3.0,0.774284898832899,129,
32962,3.0,0.7858401652686398,130,
49016,3.0,0.9225333812922245,131,
20045,,0.9379097946983505,132,I cannot provide a response that promotes hate speech or
7479,3.0,0.766954172460445,133,
20069,0.0,0.498040976515199,134,
20088,,0.979788709719899,135,I cannot provide a response that promotes or condones
2088,3.0,0.8391686179501485,136,
18346,3.0,0.7929792490299308,137,
26170,,0.6537638542704033,138,I cannot provide a response that contains racial slurs
36180,1.0,0.5319840444067195,139,
20008,,0.7091973983793992,140,I cannot provide a response that promotes or condones
22489,3.0,0.7705162505059916,141,
19431,3.0,0.5762833537871068,142,
1645,,0.9413035212113735,143,I cannot provide a response that promotes or condones
28525,1.0,0.767802796884448,144,
20017,3.0,0.7697803109855507,145,
28203,,0.9565266855878165,146,I cannot provide a response that contains DEHUMAN
12852,2.0,0.5550835826921396,147,
31411,,0.7441440159442416,148,I cannot provide a response that promotes or glorifies
17197,1.0,0.692430344690795,149,
6827,4.0,0.7543942231817301,150,
13252,3.0,0.812822368223819,151,
28929,2.0,0.5841735040507656,152,
24983,3.0,0.8380405252992686,153,
20925,2.0,0.6864895422444157,154,
9989,2.0,0.5179799239896327,155,
23012,1.0,0.6643944529176502,156,
20685,3.0,0.4989352840217994,157,
20061,0.0,0.7205187409724868,158,
6032,,0.671888177474152,159,I cannot provide a response that promotes or glorifies
616,3.0,0.6426930708816747,160,
46051,1.0,0.7538973393623521,161,
23093,3.0,0.7092692212248776,162,
20851,3.0,0.8881400498910311,163,
20025,3.0,0.5437606368443411,164,
20054,2.0,0.5955210905383611,165,
39129,3.0,0.49732402286479616,166,
18417,1.0,0.5460672881335091,167,
47401,2.0,0.5368102465817125,168,
47047,0.0,0.5966825801939132,169,
28486,3.0,0.9281472662359118,170,
30007,3.0,0.527087585226443,171,
20998,3.0,0.9589898065494148,172,
20050,3.0,0.7981555803884823,173,
32127,1.0,0.7305480202611633,174,
17959,,0.5762959257184773,175,I cannot provide a response that promotes or condones
12278,4.0,0.6358901797043461,176,
48434,2.0,0.572591599513865,177,
23725,3.0,0.4620852065024707,178,
38133,2.0,0.40160587721434227,179,
19687,3.0,0.4667002488460644,180,
19040,2.0,0.6941907480110692,181,
38354,3.0,0.7206254059126728,182,
27791,,0.8278394537740136,183,I cannot provide a response that contains dehumanizing
1787,4.0,0.8093794811516511,184,
26953,3.0,0.6952685442081376,185,
2317,3.0,0.49736069238708785,186,
20041,2.0,0.4750612615798561,187,
6830,3.0,0.631394989644616,188,
48629,3.0,0.9032910113450673,189,
38703,,0.5949673293566015,190,I cannot provide a response that promotes or condones
19705,4.0,0.7821252042875694,191,
10043,,0.40308686620147927,192,I cannot provide a response that contains explicit content.
14213,3.0,0.3575125835578844,193,
46750,3.0,0.9573223572959707,194,
39511,4.0,0.6891792618186506,195,
8717,3.0,0.7390184970847024,196,
13734,3.0,0.5588002293868989,197,
48979,3.0,0.9435134184033248,198,
28698,3.0,0.8795326756293614,199,
